aan énhé; contradizer; discordar; ; verbo transitivo irregular
asema; sair; ; ; verbo intransitivo
aséoka; garganta; goela; ; substantivo
aséokaãia; céu da boca; palato; úvula; substantivo
aséókytã; pomo de adão; ; ; substantivo
aséopyãia; céu da boca; palato; úvula; substantivo
asiaba; dividir; partir; ; verbo transitivo
asósé; abundância; ; ; substantivo
asoí; abrigar; cobrir; tampar; verbo transitivo
asú; esquerda; ; ; substantivo
asú (grande e grosso); grande; ; ; adjetivo
asuba; amor; ; ; substantivo
asura; corcova; lombada; ; substantivo
asurĩ; coalhado; ; ; adjetivo
asy; dor; ; ; substantivo
asy; dolorido; penoso; ; adjetivo
asîaba (sempre em pedaços); cortar; dividir; partir; verbo retransitivo
asyka; fatia; ; ; substantivo
asyma; liso; escorregadio; ; adjetivo
aé; outro; outrem; ; adjetivo
aembé; áspero; ; ; adjetivo
aembéé; afiar; amolar; ; verbo transitivo
aembékoróia; áspero; saliente; ; adjetivo
aeté; aprimorado; fino; ótimo; adjetivo
agoásema; achar; ; ; verbo transitivo
agûa'sá; amante; bastardo; concubina; substantivo
agûãîa; abocanhar; ; ; verbo transitivo
agûaixyma; malvaísco; alteia; ; substantivo
agûámiranga (feito de penas); bracelete; ; ; substantivo
agû'ana (feito de penas); bracelete; ; ; substantivo
agûápé; golfão; nenúfar; ; substantivo
aguápéasoka; jaçanã; ; ; substantivo
aguápéaóba; golfão; nenúfar; ; substantivo
agûará; cachorro-do-mato; ; ; substantivo
aguaráguasú; lobo; ; ; substantivo
agûarãia; brotar; germinar; ; verbo intransitivo
agûarákyynha; erva-moura; ; ; substantivo
agûatéopóbo; engatinhar; ; ; verbo intransitivo
agûé; médio; meio; ; numeral distributivo
agûé; cintura; ; ; substantivo
agûéá; eixo; molar; dente molar; substantivo
agûéá popy; siso; dento siso; ; substantivo
agûéy! (de homem para homem); olá; ó; oh; vocativo
agûy! (perda ou esquecimento, usado apenas por homens); ó; oh; ; vocativo
agûyagûy (de doença, enjoo ou embriaguez); cambalear; ; ; verbo intransitivo
agûyagûy (vara, corda, etc); vibrar; ; ; verbo intransitivo
ahẽ (de homem para homem); aquele; aquela; fulano; demonstrativo de aproximação
ahẽ!(espanto ou zombaria, usado apenas por homens); ó; oh; ; vocativo
ãhé!(espanto ou zombaria, usado apenas por homens); ó; oh; ; vocativo
aí; mal; ; ; advérbio
aí (animal); preguiça; bicho preguiça; ; substantivo
aîa; papada; papo; ; substantivo
aîa; ácido; azedo; ; adjetivo
ãîa; dente; ; ; substantivo
aîasy; ácido; amargo; azedo; adjetivo
aîaká; jaca; ; ; substantivo
aîapé; casca; casco; ; substantivo
ãîapoã (dentes); canino; dente canino; presa; substantivo
âîapuã (dentes); canino; dente canino; presa; substantivo
aíaryîa; avó; ; ; substantivo
aiba (fisicamente); estragado; impraticável; ; adjetivo
aiba (moralmente); mal; ruim; ; adjetivo
aiba; mal; ; ; advérbio
aíba; matagal; aflição; ; substantivo
aíba; aflito; velho; ; adjetivo
ãiba'ũ; banguela; ; ; substantivo
aibé; coitado; desprezível; vil; adjetivo
aibeté; logo; ; ; advérbio
aib'ĩ; coitado; desprezível; vil; adjetivo
ãibi'ryryîa; risonho; sorridente; ; adjetivo
aîbó; agourar; prever; predizer; verbo transitivo
ãibora (marca); dentada; mordida; ; substantivo
aísaba; risco; traço; ; substantivo
aisó (bem feito); bom; bem; ; advérbio
aisyyra (materna); tia; ; ; substantivo
aîé; atalho; corte; pressa; substantivo
aîé; apressado; afobado; ; adjetivo
aîéénhé; consentir; ; ; verbo transitivo
aîéénhéeyma; negar; ; ; verbo transitivo
aîéreba; desimpedido; liso; raso; adjetivo
aîérebĩ; liso; raso; ; adjetivo
aígûera; resto; sobra; ; substantivo
aîîa; colhereiro; ; ; substantivo
aiipoã; adiantar-se; ; ; verbo pronominal
aîka; amassar; ; ; verbo transitivo
aiká; boto; ; ; substantivo
ãimaũ; banguela; ; ; substantivo
aimoanhana; afugentar; ; ; verbo transitivo
aimokonga; engolir; ; ; verbo transitivo
aimouna (de preto); tingir; pintar; ; verbo transitivo
ãimytera (dentes); incisivo; dente incisivo; ; substantivo
ã'ingá (os dentes de); quebrar; partir; ; verbo transitivo
ã'in'guyrỹîa (os dentes); ranger; ; ; verbo intransitivo
aîo; bolsa; bolso; saco; substantivo
ãioka; descaroçar; ; ; verbo transitivo
aipi; aipim; ; ; substantivo
aipi; enchova; anchova; ; substantivo
aipimixira; bodião; ; ; substantivo
aîpóbana; fiar; tecer; ; verbo transitivo
aîpósuí; dali; ; ; advérbio
aîpópe; ali; lá; ; demonstrativo de proximidade
aira (fazer inscrições em); escrever; riscar; ; verbo transitivo
ai'rĩ; miúdo; pequeno; ; adjetivo
airykoré (de fruta); cacho; ; ; substantivo
airykoré; composto; multiplicado; ; adjetivo
airyroba (palmito amargo ou guariroba); palmito; ; ; substantivo
aîu; fibra; nervo; nervura; substantivo
aîuã; liso; ; ; adjetivo
aîuba; loiro; ruivo; queixo; substantivo
aîuba (fruto); maduro; ; ; adjetivo
aîubena (da filha ou da sobrinha paterna, usado apenas por homens); esposo; ; ; substantivo
aîubyka; enforcar; enforcar-se; sufocar; verbo transitivo
aíusú; papo; ; ; substantivo
aíusú; papudo; ; ; adjetivo
aîuka; veia; ; ; substantivo
aîuká (a massa); amassar; sovar; ; verbo transitivo
aîukáukára (matar); mandar; ; ; verbo transitivo
aîura; pescoço; ; ; substantivo
aîur'ara; laçar; ; ; verbo transitivo
aîur'ara (por conta do peso); vergar; curvar; arquear; verbo intransitivo
aîurĩ; colo; ; ; substantivo
aîuru; papagaio; ; ; substantivo
aîurueté; papagaio-do-mangue; papagaio-grego; ; substantivo
aîuruguasú; papagaio-moleiro; ; ; substantivo
aîuruîuba (pejorativo, literalmente "papagaio loiro", usado para os europeus do norte); europeu; ; ; substantivo
aîurupy; nuca; talo; gola; substantivo
aîxé (paterna); tia; ; ; substantivo
aixó (do homem); sogra; ; ; substantivo
aîyba; queixo; queixada; ; substantivo
aîybena (da filha ou da sobrinha paterna, usado apenas por homens); esposo; ; ; substantivo
aîyka (mas maleável ou flexível); duro; rijo; rígido; adjetivo
aîyka; veia; ; ; substantivo
aîymena (da filha ou da sobrinha paterna, usado apenas por homens); esposo; ; ; substantivo
aîyra (do homem); filha; ; ; substantivo
aîyra (de animal); filhote; ; ; substantivo
aka; chifre; esporão; ponta; substantivo
aka; sumo; suco; ; substantivo
aka; amargo; ; ; adjetivo
aka; amargar; ; ; verbo predicativo
akã; galho; ramo; ; substantivo
akaba (com); brigar; gritar; ; verbo transitivo
akasanga; duvidoso; indeciso; ; adjetivo
akaî! (dó, dor, zombaria, usado apenas por homens); ó; ai; ; vocativo
akaiá; madre; útero; ; substantivo
akaîá; cajá; ; ; substantivo
akãia (sem agarrar); tocar; ; ; verbo transitivo
akaîara; chifrudo; ; ; substantivo
akaîu; caju; ; ; substantivo
akaîutĩ (de caju); castanha; ; ; substantivo
akaîutyba; cajueiral; ; ; substantivo
akaîuyba; cajueiro; ; ; substantivo
akakaba; censurar; repreender; ; verbo transitivo
akãmbuasaba; fita; tira; ; substantivo
akambuara; atar; amarrar; ; verbo transitivo
akamby (entre as pernas); vão; espaço; ; substantivo
aka mbyra; galho; ramo; ; substantivo
akamonbysyka; atar; amarrar; ; verbo transitivo
akamundubora; febril; ; ; adjetivo
akamunduka; febril; ; ; adjetivo
akanga; cabeça; ; ; substantivo
akangasoiaba (feito de penas); carapuça; ; ; substantivo
akangasy (de cabeça); dor; ; ; substantivo
akangagûá; saliência; protuberância; ; substantivo
akangagûá; cabeçudo; saliente; ; adjetivo
akangagûá; clava; maça; porrete; substantivo
akang'aiba (cabelo); crespo; ; ; substantivo
akang'aóba (feito de penas); carapuça; ; ; substantivo
akang'aóbapuá (feito de penas); carapuça; ; ; substantivo
akang'aób'urupé; chapéu; ; ; substantivo
akangaóîépepira; chapéu; ; ; substantivo
akangapé; cancro; câncer; ; substantivo
akangatara; cocar; ; ; substantivo
akang'ayba; doido; louco; ; substantivo
akangékyîa (os cabelos de); arrancar; puxar; ; verbo transitivo
akang'iapé; crâneo; ; ; substantivo
akang'itara; cocar; ; ; substantivo
akang'iutara; cocar; ; ; substantivo
akang'nhé; perder-se; ; ; verbo pronominal
akang'oka (os cabelos de); cortar; ; ; verbo transitivo
akangusú; cabeçudo; ; ; substantivo
akang'ûera; caveira; ; ; substantivo
akang'upaba (da cama ou rede); cabeceira; ; ; substantivo
akang'uyra; desanimado; inerte; ; adjetivo
aka'nhem; perder-se; ; ; verbo intransitivo
akan'nhinana; doida; agitada; delirante; substantivo
akánundu'bora; febril; ; ; adjetivo
akánunduka; febril; ; ; adjetivo
akapé; chapa; pedaço; posta; substantivo
akapé; barriga; abdômen; ventre; substantivo
akãpyra (de árvore, vara, etc); ponta; ; ; substantivo
akará (peixe); cará; acará; ; substantivo
akaráãia; peixe-cão; ; ; substantivo
akarãia (os cabelos de); cortar; ; ; verbo transitivo
akarãia (osso); roer; ; ; verbo transitivo
akarámuku; peixe-porco; ; ; substantivo
akaráxixá (superfície); áspero; grosso; rugoso; adjetivo
akaráy (rio dos acarás); acaraí; acaray; ; substantivo
akar'isóba; erva-capitão; acariçoba; ; substantivo
akayã; macuco; ; ; substantivo
akayáyba; cajazeira; cajazeiro; ; substantivo
aké! (dó, dor, zombaria, usado apenas por mulheres); ó; oh; ; vocativo
akó; virilha; ; ; substantivo
akóaba (do púbis); pelo; ; ; substantivo
akóaba (entrar na puberdade); puberdade; pubescer; ; verbo intransitivo
akóabámo (entrar na puberdade); puberdade; pubescer; ; verbo intransitivo
akóakókuesé (antes de anteontem); antes; ; ; advérbio
akóaynha (nas virilhas); íngua; ; ; substantivo
akókuesé; anteontem; ; ; substantivo
akoróia; coalhado; ; ; adjetivo
akóti; cutia; ; ; substantivo
akótipura; esquilo; caxinguelê; ; substantivo
akóuramo (entrar na puberdade); puberdade; pubescer; ; verbo intransitivo
akuá; esquina; ; ; substantivo
akuãîa; pênis; ; ; substantivo
akuãi' aíba; câncer; cancro; ; substantivo
akuãi' baé; macho; ; ; substantivo
akuãi' pytá (usado apenas por homens); púbis; ; ; substantivo
akûara; febre; ; ; substantivo
akûara; febril; ; ; adjetivo
akûara (estar com); febre; ; ; verbo factivo
akuba (do corpo de gente ou animal); quente; quentura; calor; substantivo
akuba (ser/estar o corpo); quente; ; ; verbo factivo
akub' aíba; morno; ; ; adjetivo
aku' bora; animado; caloroso; quente; adjetivo
akûéî'gûerabé (desde então); desde; ; ; advérbio
akûéî'me; antigamente; ; ; advérbio
akuí; enxuto; seco; dessecado; adjetivo
akûia; calvo; ; ; adjetivo
akuîxaĩ; enxuto; seco; dessecado; adjetivo
akuîxaĩ (em pó ou fragmentos); esboroar-se; desfazer-se; reduzir-se; verbo intransitivo
akûpe (ser/estar); quente; ; ; verbo predicativo
akuraã; baía; enseada; ; substantivo
akuréĩ; agitado; sacudido; ; adjetivo
akuréĩ; agitar; sacudir; ; verbo transitivo
akuréĩ; agitar-se; sacudir-se; ; verbo pronominal
akuruy (rio dos seixos); acuruí; acuruy; ; substantivo
akuti; cutia; ; ; substantivo
aky! (dó, dor, zombaria, usado apenas por mulheres); ó; oh; ; vocativo
akyma; molhado; ; ; adjetivo
akypûemboura (vindo de); rastro; ; ; substantivo
akypûemboura (o rastro de (vindo)); seguir; ; ; verbo transitivo
akypûe'momosema (caçando); rastro; ; ; substantivo
akypûe'momosema (o rastro de (caçando)); seguir; ; ; verbo transitivo
akypûe'mondó (indo); rastro; ; ; substantivo
akypûe'mondó (seguir o rastro de (indo)); seguir; ; ; verbo transitivo
akypûera; pegada; rastro; vestígio; substantivo
akypûer'i; atrás; detrás; ; preposição
akypûeribé (logo atrás); logo; atrás; ; preposição
akyra (que ainda não está maduro); novo; verde; ; adjetivo
akyraá (que ainda não está maduro); imaturo; verde; ; adjetivo
akyr'ara; aborto; ; ; substantivo
akyr'ara; abortivo; ; ; adjetivo
akyr'ara; abortar; ; ; verbo transitivo
akytã (de sal, de pimenta); grão; ; ; substantivo
akytã; curto; ; ; adjetivo
akytaba (estreito no meio e largo nas extremidades); estreito; largo; ; adjetivo
akytãbûera; miúdo; resto; sobra; substantivo
ama (estar de pé, mas parado); estar; pé; ; verbo predicativo
ama (ficar com); ficar; ; ; verbo transitivo
ama; erguer-se; ; ; verbo intransitivo
amãberaba; raio; relâmpago; ; substantivo
amãsununga; trovão; ; ; substantivo
amamana; atar; amarrar; ; verbo transitivo
amãmbykaba; fita; tira; ; substantivo
amana; chuva; ; ; substantivo
amana; amarrar; cercar; envolver; verbo transitivo
amanaîé; reunião; ; ; substantivo
amanary (água da chuva); água; chuva; ; substantivo
amanarypyaka; geada; ; ; substantivo
amanay (água da chuva); água; chuva; ; substantivo
amand'aba; cículo; roda; rodeio; substantivo
amand'aba; arredondado; circular; redondo; adjetivo
amand'y (água da chuva); água; chuva; ; substantivo
amand'ybá'; granizo; ; ; substantivo
amand'ykyra (goteira de chuva); goteira; mantiqueira; ; substantivo
aman'îú; algodão; ; ; substantivo
aman'pituna (nuvem escura, nuvem de chuva); nuvem; ; ; substantivo
aman'pituna (mau tempo, tempo fechado, tempo de chuva); tempo; chuva; ; substantivo
aman'pytuna (nuvem escura, nuvem de chuva); nuvem; ; ; substantivo
aman'pytuna (mau tempo, tempo fechado, tempo de chuva); tempo; chuva; ; substantivo
aman'uîútyba; algodoeiro; ; ; substantivo
amaragy (procedente da chuva); rio; ; ; substantivo
amarana; parado; imóvel; quieto; adjetivo
amarana (estar quieto, estar em silêncio); quieto; silêncio; ; verbo factivo
amatiá; vagina; vulva; ; substantivo
amátiri; raio; ; ; substantivo
amãtiri; raio; ; ; substantivo
ambaba; lugar; ; ; substantivo
ambaré; lagartixa; ; ; substantivo
ambayba; ambaúba; embaúba; ; substantivo
ambé; barriga; ventre; ; substantivo
ambéaóba; tanga; ; ; substantivo
ambéaóbasyka; trapo; farrapo; ; substantivo
ambipe (algum dia, alguma ocasião (futuro)); algum; alguma; futuramente; advérbio

